Entry,Study,Author,Study.Year,Family,W.Spp,W.Var,D.Spp,D.Var,D.Common,Life.Hist,Dom.Extent,Crop.Use,Org.Meas,Org.Use,Source,Response.Type,Response.Direction,Mean.Wild,SD.Wild,N.Wild,Mean.Dom,SD.Dom,N.Dom,Description of response variable
3,1,Chen and Welter,2005,Asteraceae,Helianthus_annuus,var. annuus  ,Helianthus_annuus,var. macrocarpus male,sunflower,ha,m,o,s,h,f1,herb,1,0,0,5,9.34,6.54,5," larval abundance in a common garden in an agricultural setting.  Only took data from middle time period, where total larval abundance was greatest."
4,1,Chen and Welter,2005,Asteraceae,Helianthus_annuus,var. annuus  ,Helianthus_annuus,var. macrocarpus female,sunflower,ha,m,o,s,h,f1,herb,1,0,0,5,29.15,9.91,5," larval abundance in a common garden in an agricultural setting.  Only took data from middle time period, where total larval abundance was greatest."
5,2,Mondolot,2008,Euphorbiaceae,Manihot_esculenta,subsp. Flabellifolia  ,Manihot_esculenta,nr,manioc,ha,l,v,l,nh,text,chem,0,1.83,0.58,40,0.97,0.29,40," concentrations of total tannins expressed as mg/g in catechin equivalents, these are means reported in text for all wild populations and all domestic samples reported in Table 2"
6,3,Rosenthal and Dirzo,1997,Poaceae,Zea_mays,subsp. parviglumis  ,Zea_mays,subsp. mays Reventador,maize,ha,l,g,l,nh,f6,herb,1,5.54,2.85442,12,6.055,4.70771,12," a relative damage score from 0-9, based on the density, size, and distribution of lesions and holes in leaves following controlled infestation "
7,3,Rosenthal and Dirzo,1997,Poaceae,Zea_mays,subsp. parviglumis  ,Zea_mays,subsp. mays PRONASE VS-524,maize,ha,m,g,l,nh,f6,herb,1,5.54,2.85442,12,9.021,1.42375,12," a relative damage score from 0-9, based on the density, size, and distribution of lesions and holes in leaves following controlled infestation "
8,3,Rosenthal and Dirzo,1997,Poaceae,Zea_diploperennis,nr,Zea_mays,subsp. mays Reventador,maize,diff,l,g,l,nh,f6,herb,1,1.03,4.92249,12,6.055,4.70771,12," a relative damage score from 0-9, based on the density, size, and distribution of lesions and holes in leaves following controlled infestation "
9,3,Rosenthal and Dirzo,1997,Poaceae,Zea_diploperennis,nr,Zea_mays,subsp. mays PRONASE VS-524,maize,diff,m,g,l,nh,f6,herb,1,1.03,4.92249,12,9.021,1.42375,12," a relative damage score from 0-9, based on the density, size, and distribution of lesions and holes in leaves following controlled infestation "
10,4,Rodriguez-Saona et al,2011,Ericaceae,Vaccinium_macrocarpon,McFarlin   ,Vaccinium_macrocarpon,Stevens,cranberry,wp,m,fr,l,nh,f2a,herb.perform,1,2.22,1.91,15,1.56,1.59,15," caterpillar mass after 7 days of feeding (placed on as neonates).  They had control and induced plants, I measured response only in control (as a measure of constitutive defense)"
11,4,Rodriguez-Saona et al,2011,Ericaceae,Vaccinium_macrocarpon,McFarlin   ,Vaccinium_macrocarpon,NJS98-23,cranberry,wp,m,fr,l,nh,f2a,herb.perform,1,2.22,1.91,15,5.58,3.66,15," caterpillar mass after 7 days of feeding (placed on as neonates).  They had control and induced plants, I measured response only in control (as a measure of constitutive defense)"
12,4,Rodriguez-Saona et al,2011,Ericaceae,Vaccinium_macrocarpon,Potter   ,Vaccinium_macrocarpon,Stevens,cranberry,wp,m,fr,l,nh,f2a,herb.perform,1,1.11,1.11,15,1.56,1.59,15," caterpillar mass after 7 days of feeding (placed on as neonates).  They had control and induced plants, I measured response only in control (as a measure of constitutive defense)"
